"ActualAmtInUSD","PredictedAmtInUSD"
147000,129594.70998963
2200000,248657.383100206
9000000,239175.630078941
162000,83706.616626874
1500000,394444.332706834
350000,203024.752887819
15000000,394444.332706834
149000,181247.898396966
3000000,304395.396882742
8000000,751155.774479868
5000000,751155.774479868
4500000,204543.191171857
